timestamp,compression_number,z_value,esp_id,imu_number,ax,ay,az,gx,gy,gz
1772551345.2154357,2,0.0,73324,3,0.268151,-0.301669,-11.7268,-0.048363,-0.012124,-0.019319
1772551345.2215602,2,0.0,73324,4,-0.09098,0.383072,-11.540052,-0.019985,-0.007594,-0.002931
1772551345.2275636,2,0.0,73353,1,0.804452,0.268151,-11.597513,-0.012923,-0.005596,-0.031709
1772551345.23314,2,0.0,73353,2,1.144428,-0.110133,-11.171345,-0.018519,-0.007328,-0.035972
1772551345.238736,2,0.0,73353,3,0.067038,-0.215478,-11.7268,-0.058489,-0.010792,-0.019585
1772551345.2456577,2,0.0,73353,4,-0.081403,0.411803,-11.674128,-0.035706,-0.001732,-0.003331
1772551345.2560694,2,0.0,73382,1,2.815581,0.531513,-11.530476,-0.013057,0.04743,-0.032642
1772551345.2615669,2,0.0,73382,2,3.490746,-0.09098,-11.736377,0.021051,0.062752,-0.032908
1772551345.2683077,2,0.0,73382,3,2.786851,-0.282516,-11.870452,-0.048629,0.020784,-0.025047
1772551345.2739046,2,0.0,73382,4,0.004788,0.110133,-11.147403,-0.007461,-0.107518,-0.019052
1772551345.2847073,2,0.0,73411,1,2.030283,0.076614,-12.119449,-0.052893,0.035573,-0.014522
1772551345.2914386,2,0.0,73411,2,2.882619,-0.397437,-11.798626,0.031443,0.068214,-0.007194
1772551345.2968633,2,0.0,73411,3,1.819593,-0.263362,-11.520899,-0.06555,0.045565,0.010126
1772551345.3024294,2,0.0,73411,4,0.6608,0.378284,-11.674128,-0.056623,-0.035972,-0.037971
1772551345.3146403,2,0.0,73440,1,1.977611,0.54109,-12.378023,-0.007727,-0.019851,-0.01732
1772551345.3202293,2,0.0,73440,2,1.73819,-0.043096,-11.597513,-0.011724,-0.015188,-0.030243
1772551345.32591,2,0.0,73440,3,0.603339,-0.526724,-11.573571,-0.040636,-0.050095,-0.019985
1772551345.332559,2,0.0,73440,4,1.225831,0.493206,-11.894394,-0.021184,0.065417,-0.006395
1772551345.3432052,2,0.0,73469,1,1.527501,0.502782,-11.745954,0.009593,-0.038637,-0.025181
1772551345.3487093,2,0.0,73469,2,1.015141,0.081403,-11.348516,-0.021983,-0.050095,-0.03917
